loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose
9000.0,36.0,6.24,274.78,0,10.0,2,10.819798284210286,0
18850.0,36.0,13.67,641.24,2,0.0,2,10.62135173563291,1
12000.0,36.0,5.32,361.38,0,2.0,1,11.695255355062795,1
13200.0,60.0,11.99,293.57,2,8.0,1,11.407576060361786,2
24000.0,60.0,12.59,541.05,2,10.0,1,11.407576060361786,8
15000.0,36.0,7.26,464.95,0,10.0,3,11.156264806643742,1
14400.0,60.0,11.99,320.25,2,0.0,3,11.695255355062795,1
11900.0,36.0,5.32,358.37,0,3.0,1,11.918397239722838,2
31225.0,60.0,17.57,785.63,3,10.0,3,11.326607934898927,2
11200.0,60.0,12.59,252.49,2,10.0,1,11.225256725762893,2
7425.0,36.0,12.59,248.72,2,0.0,1,10.668978650219241,2
15825.0,60.0,16.55,389.48,3,8.0,1,10.491301994830229,2
5175.0,36.0,27.31,212.14,6,,2,9.249464926660233,6
24000.0,36.0,12.59,803.93,2,3.0,3,11.66878325827833,1
5400.0,36.0,7.26,167.38,0,0.0,3,10.308985993422082,1
5000.0,36.0,11.99,166.05,2,5.0,3,10.545367754151743,2
10800.0,60.0,13.67,249.46,2,10.0,3,11.289794413577894,2
21600.0,36.0,7.26,669.52,0,10.0,2,11.050905878263567,1
32000.0,36.0,10.64,1042.2,1,2.0,1,11.918397239722838,2
17000.0,36.0,10.78,554.79,1,4.0,1,11.842236406331555,1
12150.0,36.0,18.2,440.48,4,5.0,3,11.407576060361786,2
25000.0,60.0,12.59,563.6,2,8.0,2,11.58989576532275,2
10000.0,36.0,9.76,321.55,1,3.0,3,11.251573687764477,1
17500.0,36.0,7.26,542.44,0,0.0,1,10.859018228147885,1
35000.0,60.0,9.76,739.53,1,0.0,1,12.165255859329688,2
16000.0,60.0,15.41,384.1,3,10.0,1,11.350418300109132,1
12175.0,36.0,16.55,431.36,3,10.0,1,11.225256725762893,2
8000.0,36.0,8.38,252.1,1,10.0,1,10.839600519357369,2
6000.0,36.0,15.41,209.2,3,2.0,1,11.599112335481124,7
35000.0,60.0,12.59,789.04,2,8.0,3,11.350418300109132,2
9000.0,36.0,6.89,277.45,0,3.0,3,11.002116507732017,2
14600.0,36.0,8.49,460.82,1,4.0,1,11.112462823634855,2
20000.0,36.0,16.99,712.96,3,5.0,2,10.819798284210286,2
12000.0,36.0,6.49,367.74,0,6.0,1,11.362114203075018,1
34250.0,60.0,18.99,888.28,4,10.0,1,11.736077016252437,3
20000.0,36.0,12.88,672.73,2,10.0,2,10.819798284210286,2
5250.0,36.0,12.59,175.86,2,2.0,3,11.289794413577894,6
15000.0,36.0,7.89,469.29,0,10.0,3,11.225256725762893,1
4000.0,36.0,11.99,132.84,2,4.0,3,10.645448706505872,5
24000.0,60.0,16.99,596.34,3,10.0,1,11.561725152903833,2
